Comment,Comment ID,Replies Count,Like Count,Updated At
Omg 50 MIL IN 11 HOURS,UgyOFtM6XAEm-WJx2nF4AaABAg,457,84920,2020-06-26T20:30:35Z
"""BLACKPINK comeback is like birthdays, it happens once a year""",UgyoWEevdRoTaWQV9BN4AaABAg,470,79977,2020-06-26T08:01:49Z
*BLACKPINK - ‘How You Like That’ has been certified 3x Platinum on QQ Music. It’s now the fastest Korean song to do so*,UgzOuKKFjzkbfgBfn5x4AaABAg,480,53957,2020-06-26T15:47:08Z
"The outfits, the visuals, the hairstyles, the choreography, everything about this video is just absolutely perfect, I feel that 2020 is their year guys. I mean imagine how the studio album will be if this is just the pre-release single !!",UgwvEW7T1VMP1RYyH614AaABAg,449,51863,2020-06-27T07:43:44Z
"Whoever read this comment...


I hope you will be succesful like this BlackPink group and have a nice day!",UgxIfPYvMvzfUK2khBh4AaABAg,469,49351,2020-06-27T07:43:53Z
"NOT JISOO ERA
NOT JENNIE ERA
NOT ROSÉ ERA
NOT LISA ERA
ITS JUST BLACKPINK ERA",UgzHFZ5irJTl5UEwoh14AaABAg,396,43708,2020-06-26T15:46:30Z
"I actually cried, I was waiting for this comeback since yg announced it. I’m so happy rn-
Edit: How the heck did I get 5.2k likes in 2 hours I’m so surprised-",UgxyvxK9Mmr9JgnUPp94AaABAg,365,37040,2020-06-26T17:54:41Z
"This is stupid. Real blinks come here to comment on the girls and the music video! Stop spamming the same thing over and over! Blinks report these please!!                                         
(Edit) sorry for the late edit! For those of you that are late we got rid of all those spam comments! And let’s just make this comment section into a positive space where we can enjoy the hard work that our girls did to get us this AMAZING comeback!! There’s no need to be negative. If you don’t like BLACKPINK then don’t comment. Much love to my blinks 🤍",UgytWpfKiQVQutXiGAp4AaABAg,408,36239,2020-06-29T17:39:48Z
"Haters: hard spam to freeze viеws
Blinks: silently break record
How you like that, haters?



ps. sorry for my eng (I'm russian)",UgxW7yzjAeIluWNNtEV4AaABAg,464,35676,2020-06-26T20:06:00Z
"i feel like the beat and the lyrics are appealing to both men and women - not all songs are like that. 

(EDIT: since the haters are keen on misunderstanding for the sake of flack. In no way did I imply that certain genders cannot listen to a certain type of song. But if that's what you understood from this comment then go cry to your mommy LOL)",UgwEXmbH_ddvJrRQKyN4AaABAg,343,34826,2020-07-03T06:10:46Z
"2016= Boombayah
2017=  As If Its Your Last
 2018 = Ddu Du Ddu
2019 = Kill This Love
2020 = How You Like That




BLACKPINK IN YOUR AREA",Ugx6eHFznZsUeZEW7pB4AaABAg,479,33675,2020-07-04T06:50:02Z
"Please report the “No one literally no one” they're trying to freeze the vi3ws spread !!!

edit: Thanks for the likes and opinions blinks!

keep streaming HYLT and give a positive comment!",UgwkYhtjj42Cgp5XKkd4AaABAg,489,33194,2020-06-27T01:15:17Z
"Hi! If you’re scrolling down, You will see a LOT of copied comments. Don’t say i didn’t warn you",UgwWiVSTpA9Byr8Xj6p4AaABAg,353,32986,2020-06-26T11:44:48Z
"*bro Jennie with those strips of blonde is KILLING ME*
Where did this likes come from lmao",UgysCqW8vqr5JGTRyUB4AaABAg,317,32532,2020-06-26T22:45:06Z
Is no one going to talk about Short hair Jennie?!,UgygUmdnFmiaDy5VtiJ4AaABAg,450,32520,2020-06-26T19:22:52Z
"*ROSÉ* : Elsa queen of ice

*LISA* : Cleopatra queen of power

*JISOO* : Belle queen of beauty

*JENNIE* : Cinderella queen of kindness

*BLACKPINK* : QUEENS of blinks",UgzvarOvVyYbvcNMJeN4AaABAg,347,30850,2020-06-26T15:46:49Z
Who is here before 100 millions?,Ugyt186hZNh4GsxXxNF4AaABAg,487,29962,2020-06-26T17:30:37Z
"Lisa/Jennie: Look at you, now look at me







me: *insecurities have entered the chat*",UgzT4hjliLYHCj0_A2h4AaABAg,358,29848,2020-06-26T15:47:07Z
"The part that Rosé sings with the black dress gets up and stays with the black wings was perfect! I loved this MV!!

Edit1: 10,000 likes, I still can't believe it, you guys are awesome!! Mom I'm famous!! haha ❤

Editfinal: 20,000 likes 😍🤗😮

ExtraEdit: Why do some of you ask to exclude emojis from comment? I still do not understand...",UgxfJJqySCbqVI31o5B4AaABAg,367,28809,2020-06-29T03:38:17Z
